,online_order,book_table,rate,votes,location,rest_type,cost,menu_item
656,1,0,4.1,201,1,73,300.0,3126
657,1,0,2.8,506,1,73,500.0,8242
658,0,0,4.1,520,1,73,300.0,8242
660,1,0,3.8,104,1,73,300.0,2019
661,0,0,3.7,88,1,73,300.0,8242
662,1,0,3.6,95,1,73,150.0,8242
663,1,0,3.7,136,1,73,600.0,1356
664,1,0,3.8,101,1,73,400.0,6226
665,1,0,4.2,60,1,73,200.0,155
666,0,0,3.9,88,1,73,250.0,8242
667,0,0,3.5,8,1,73,200.0,8242
668,0,0,3.4,145,1,73,300.0,8242
669,1,0,3.6,46,1,73,500.0,1419
670,1,0,3.4,22,1,73,200.0,1936
671,1,0,3.9,57,1,73,200.0,4464
672,0,0,3.8,189,1,73,300.0,8242
673,0,0,3.7,22,1,73,500.0,8242
674,1,0,3.6,18,1,73,250.0,8242
675,1,0,3.7,73,1,73,400.0,5446
676,0,0,3.8,39,1,73,350.0,8242
677,1,0,3.9,540,1,73,800.0,5091
678,0,0,3.6,71,1,73,250.0,8242
679,1,0,3.6,24,1,73,250.0,1536
681,0,0,3.5,11,1,73,300.0,8242
682,0,0,3.4,9,1,73,350.0,8242
683,0,0,3.5,12,1,73,500.0,8242
684,1,0,3.8,120,1,73,250.0,401
685,1,0,3.0,82,1,73,300.0,4001
686,1,0,3.5,88,1,73,350.0,1630
688,1,0,4.0,17,1,73,150.0,8242
690,1,0,3.0,87,1,73,600.0,5687
